,College,Funding Status,Field Of Study,Degree,5 Year Earnings,5 Year Earnings for Males,5 Year Earnings for Non-Males
13221,Arizona College of Nursing-Tempe,"Private, for-profit",Allied Health and Medical Assisting Services.,Undergraduate Certificate or Diploma,34614,36969,34147
13222,Arizona College of Nursing-Tempe,"Private, for-profit",Allied Health and Medical Assisting Services.,Associate's Degree,36189,38035,36435
13223,New York Conservatory for Dramatic Arts,"Private, for-profit",Drama/Theatre Arts and Stagecraft.,Associate's Degree,22943,18958,23781
13224,Academia Serrant Inc,"Private, for-profit",Culinary Arts and Related Services.,Undergraduate Certificate or Diploma,18152,22035,15239
13225,Pacific College,"Private, for-profit","Practical Nursing, Vocational Nursing and Nursing Assistants.",Undergraduate Certificate or Diploma,60015,68619,57313
13226,American College of Healthcare and Technology,"Private, for-profit","Allied Health Diagnostic, Intervention, and Treatment Professions.",Undergraduate Certificate or Diploma,43803,52403,38329
13227,American College of Healthcare and Technology,"Private, for-profit","Allied Health Diagnostic, Intervention, and Treatment Professions.",Associate's Degree,37097,39922,33031
13228,Midwestern University-Glendale,"Private, nonprofit","Biology, General.",Master's Degree,62793,63162,62763
13229,Midwestern University-Glendale,"Private, nonprofit","Allied Health Diagnostic, Intervention, and Treatment Professions.",Master's Degree,131334,157866,127585
13230,Embry-Riddle Aeronautical University-Worldwide,"Private, nonprofit","Aerospace, Aeronautical and Astronautical Engineering.",Bachelor's Degree,97915,94766,104356
13231,Embry-Riddle Aeronautical University-Worldwide,"Private, nonprofit",Air Transportation.,Bachelor's Degree,83811,86602,72040
13232,Embry-Riddle Aeronautical University-Worldwide,"Private, nonprofit",Air Transportation.,Master's Degree,105418,111592,92655
13233,Embry-Riddle Aeronautical University-Worldwide,"Private, nonprofit","Business Administration, Management and Operations.",Bachelor's Degree,85780,85830,82588
13234,Embry-Riddle Aeronautical University-Worldwide,"Private, nonprofit","Business Administration, Management and Operations.",Master's Degree,105981,110579,86012
13235,John Wesley International Barber and Beauty College,"Private, for-profit",Cosmetology and Related Personal Grooming Services.,Undergraduate Certificate or Diploma,15723,14603,14953
13236,Miller-Motte College-Platt College-Lawton,"Private, for-profit",Dental Support Services and Allied Professions.,Undergraduate Certificate or Diploma,25794,30597,25215
13237,Miller-Motte College-Platt College-Lawton,"Private, for-profit",Allied Health and Medical Assisting Services.,Undergraduate Certificate or Diploma,25324,27754,25037
13238,Miller-Motte College-Platt College-Lawton,"Private, for-profit",Somatic Bodywork and Related Therapeutic Services.,Undergraduate Certificate or Diploma,23008,28255,22109
13239,Southeastern College-West Palm Beach,"Private, for-profit",Allied Health and Medical Assisting Services.,Undergraduate Certificate or Diploma,28813,26979,28870
13240,Southeastern College-West Palm Beach,"Private, for-profit","Allied Health Diagnostic, Intervention, and Treatment Professions.",Associate's Degree,45578,55047,44527
13241,Southeastern College-West Palm Beach,"Private, for-profit",Nursing.,Associate's Degree,80733,97859,80619
13242,Klamath Community College,Public,"Liberal Arts and Sciences, General Studies and Humanities.",Associate's Degree,40193,31259,43387
13243,Strayer University-Maryland,"Private, for-profit","Computer and Information Sciences, General.",Bachelor's Degree,83581,89693,73044
13244,Strayer University-Maryland,"Private, for-profit",Information Science/Studies.,Bachelor's Degree,87437,89759,74722
13245,Strayer University-Maryland,"Private, for-profit",Information Science/Studies.,Master's Degree,94667,100980,74636
13246,Strayer University-Maryland,"Private, for-profit",Educational Administration and Supervision.,Master's Degree,51489,53884,50101
13247,Strayer University-Maryland,"Private, for-profit",Criminal Justice and Corrections.,Bachelor's Degree,54929,61002,47630
13248,Strayer University-Maryland,"Private, for-profit",Public Administration.,Master's Degree,60858,68294,56346
13249,Strayer University-Maryland,"Private, for-profit",Health and Medical Administrative Services.,Master's Degree,55397,50832,56479
13250,Strayer University-Maryland,"Private, for-profit","Business/Commerce, General.",Bachelor's Degree,64524,72673,61049
13251,Strayer University-Maryland,"Private, for-profit","Business Administration, Management and Operations.",Associate's Degree,47793,68022,43872
13252,Strayer University-Maryland,"Private, for-profit","Business Administration, Management and Operations.",Master's Degree,72657,87657,66601
13253,Strayer University-Maryland,"Private, for-profit",Accounting and Related Services.,Bachelor's Degree,59529,52143,60395
13254,Strayer University-Maryland,"Private, for-profit",Accounting and Related Services.,Master's Degree,69196,70961,68318
13255,Strayer University-Maryland,"Private, for-profit",Human Resources Management and Services.,Master's Degree,62460,69844,60690
13256,Empire Beauty School-Bordentown,"Private, for-profit",Cosmetology and Related Personal Grooming Services.,Undergraduate Certificate or Diploma,22594,26437,22352
13257,Empire Beauty School-Monroeville,"Private, for-profit",Cosmetology and Related Personal Grooming Services.,Undergraduate Certificate or Diploma,21931,21215,21943
13258,Southern Careers Institute-San Antonio,"Private, for-profit",Health and Medical Administrative Services.,Undergraduate Certificate or Diploma,27465,31279,27323
13259,Southern Careers Institute-San Antonio,"Private, for-profit",Allied Health and Medical Assisting Services.,Undergraduate Certificate or Diploma,27409,29264,26754
13260,Southern Careers Institute-San Antonio,"Private, for-profit",Accounting and Related Services.,Undergraduate Certificate or Diploma,27062,28795,26046
13261,Southern Careers Institute-San Antonio,"Private, for-profit",Business Operations Support and Assistant Services.,Undergraduate Certificate or Diploma,21361,31627,19914
13262,Prism Career Institute-West Atlantic City,"Private, for-profit","Practical Nursing, Vocational Nursing and Nursing Assistants.",Undergraduate Certificate or Diploma,52362,59919,50910
13263,Praxis Institute,"Private, for-profit",Somatic Bodywork and Related Therapeutic Services.,Undergraduate Certificate or Diploma,22281,25712,19022
13264,Institute of Technology,"Private, for-profit",Culinary Arts and Related Services.,Undergraduate Certificate or Diploma,30052,27630,30134
13265,Institute of Technology,"Private, for-profit",Culinary Arts and Related Services.,Associate's Degree,25132,23742,26519
13266,Institute of Technology,"Private, for-profit",Criminal Justice and Corrections.,Associate's Degree,31881,36023,23276
13267,Institute of Technology,"Private, for-profit",Allied Health and Medical Assisting Services.,Undergraduate Certificate or Diploma,30652,44061,30141
13268,Institute of Technology,"Private, for-profit","Practical Nursing, Vocational Nursing and Nursing Assistants.",Undergraduate Certificate or Diploma,54913,53742,56227
13269,University of Phoenix-Washington,"Private, for-profit",Behavioral Sciences.,Bachelor's Degree,43712,52770,42062
13270,University of Phoenix-Washington,"Private, for-profit","Business Administration, Management and Operations.",Undergraduate Certificate or Diploma,70487,70258,70554
13271,University of Phoenix-Washington,"Private, for-profit","Business Administration, Management and Operations.",Bachelor's Degree,63179,73458,55986
13272,University of Phoenix-Washington,"Private, for-profit","Business Administration, Management and Operations.",Master's Degree,74320,86283,67172
13273,University of Phoenix-Washington,"Private, for-profit",Accounting and Related Services.,Bachelor's Degree,58358,63418,56797
13274,CET-El Paso,"Private, nonprofit",Ground Transportation.,Undergraduate Certificate or Diploma,40705,43840,16984
13275,Appalachian School of Law,"Private, nonprofit",Law.,First Professional Degree,60400,66970,52937
13276,Platt College-Ontario,"Private, for-profit",Criminal Justice and Corrections.,Associate's Degree,39423,45006,33488
13277,Platt College-Ontario,"Private, for-profit",Health and Medical Administrative Services.,Associate's Degree,36266,42718,35913
13278,Platt College-Ontario,"Private, for-profit","Allied Health Diagnostic, Intervention, and Treatment Professions.",Associate's Degree,62076,78163,54911
13279,American University of Health Sciences,"Private, for-profit","Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",Bachelor's Degree,122088,134106,115145
13280,Career Networks Institute,"Private, for-profit","Allied Health Diagnostic, Intervention, and Treatment Professions.",Undergraduate Certificate or Diploma,42761,44740,42259
13281,Career Networks Institute,"Private, for-profit","Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",Associate's Degree,99141,123725,92931
13282,Career Networks Institute,"Private, for-profit","Practical Nursing, Vocational Nursing and Nursing Assistants.",Undergraduate Certificate or Diploma,54485,56336,54284
13283,Lincoln Technical Institute-Lincoln,"Private, for-profit",Dental Support Services and Allied Professions.,Undergraduate Certificate or Diploma,35069,42016,34555
13284,Lincoln Technical Institute-Lincoln,"Private, for-profit",Health and Medical Administrative Services.,Undergraduate Certificate or Diploma,37054,42247,36876
13285,Lincoln Technical Institute-Lincoln,"Private, for-profit",Allied Health and Medical Assisting Services.,Undergraduate Certificate or Diploma,32756,34930,32542
13286,Lincoln Technical Institute-Lincoln,"Private, for-profit",Somatic Bodywork and Related Therapeutic Services.,Undergraduate Certificate or Diploma,27214,33932,26813
13287,Lincoln Technical Institute-Lincoln,"Private, for-profit","Practical Nursing, Vocational Nursing and Nursing Assistants.",Undergraduate Certificate or Diploma,54521,57815,54096
13288,Western Governors University,"Private, nonprofit","Computer and Information Sciences, General.",Bachelor's Degree,103842,105211,94870
13289,Western Governors University,"Private, nonprofit",Computer/Information Technology Administration and Management.,Master's Degree,138406,138939,135687
13290,Western Governors University,"Private, nonprofit","Education, General.",Bachelor's Degree,47043,49133,46773
13291,Western Governors University,"Private, nonprofit","Education, General.",Master's Degree,55251,60183,54999
13292,Western Governors University,"Private, nonprofit",Curriculum and Instruction.,Master's Degree,67901,83556,66097
13293,Western Governors University,"Private, nonprofit",Educational Administration and Supervision.,Master's Degree,81506,80027,82025
13294,Western Governors University,"Private, nonprofit",Educational/Instructional Media Design.,Master's Degree,69997,80412,67317
13295,Western Governors University,"Private, nonprofit",Special Education and Teaching.,Bachelor's Degree,52641,54314,52498
13296,Western Governors University,"Private, nonprofit",Special Education and Teaching.,Master's Degree,62963,69926,61140
13297,Western Governors University,"Private, nonprofit","Teacher Education and Professional Development, Specific Subject Areas.",Bachelor's Degree,50239,51679,50165
13298,Western Governors University,"Private, nonprofit","Teacher Education and Professional Development, Specific Subject Areas.",Master's Degree,65381,69500,63516
13299,Western Governors University,"Private, nonprofit",Medical Illustration and Informatics.,Bachelor's Degree,89508,97347,85631
13300,Western Governors University,"Private, nonprofit","Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",Bachelor's Degree,97743,113211,95940
13301,Western Governors University,"Private, nonprofit","Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",Master's Degree,110112,132302,108568
13302,Western Governors University,"Private, nonprofit","Business Administration, Management and Operations.",Bachelor's Degree,79431,91231,73810
13303,Western Governors University,"Private, nonprofit","Business Administration, Management and Operations.",Master's Degree,94290,103568,90651
13304,Western Governors University,"Private, nonprofit",Accounting and Related Services.,Bachelor's Degree,68709,72332,66702
13305,Western Governors University,"Private, nonprofit",Management Information Systems and Services.,Master's Degree,123017,127143,105743
13306,Western Governors University,"Private, nonprofit",Marketing.,Bachelor's Degree,70202,75922,67841
13307,Western Governors University,"Private, nonprofit","General Sales, Merchandising and Related Marketing Operations.",Bachelor's Degree,100631,112164,96499
13308,Herzing University-New Orleans,"Private, nonprofit",Criminal Justice and Corrections.,Associate's Degree,59370,78125,30345
13309,Herzing University-New Orleans,"Private, nonprofit",Criminal Justice and Corrections.,Bachelor's Degree,63953,75854,52130
13310,Herzing University-New Orleans,"Private, nonprofit",Allied Health and Medical Assisting Services.,Associate's Degree,38011,58604,35657
13311,Herzing University-New Orleans,"Private, nonprofit","Allied Health Diagnostic, Intervention, and Treatment Professions.",Associate's Degree,47173,68284,39957
13312,Herzing University-New Orleans,"Private, nonprofit","Business Administration, Management and Operations.",Associate's Degree,39668,47319,37742
13313,Herzing University-New Orleans,"Private, nonprofit","Business Administration, Management and Operations.",Bachelor's Degree,65935,76795,60191
13314,Herzing University-New Orleans,"Private, nonprofit","Business Administration, Management and Operations.",Master's Degree,54354,68055,53604
13315,Florida Gulf Coast University,Public,Natural Resources Conservation and Research.,Bachelor's Degree,42044,56168,31345
13316,Florida Gulf Coast University,Public,Communication and Media Studies.,Bachelor's Degree,52016,48937,54302
13317,Florida Gulf Coast University,Public,Legal Support Services.,Bachelor's Degree,55628,57447,55688
13318,Florida Gulf Coast University,Public,"English Language and Literature, General.",Bachelor's Degree,48650,48229,48411
13319,Florida Gulf Coast University,Public,"Biology, General.",Bachelor's Degree,50861,52180,50801
13320,Florida Gulf Coast University,Public,"Psychology, General.",Bachelor's Degree,49829,50560,49659
13321,Florida Gulf Coast University,Public,Criminal Justice and Corrections.,Bachelor's Degree,53216,59266,51918
13322,Florida Gulf Coast University,Public,Political Science and Government.,Bachelor's Degree,66600,69833,61226
13323,Florida Gulf Coast University,Public,"Business Administration, Management and Operations.",Bachelor's Degree,59492,63255,53239
13324,Florida Gulf Coast University,Public,"Business Administration, Management and Operations.",Master's Degree,89129,102967,82074
13325,Florida Gulf Coast University,Public,Accounting and Related Services.,Bachelor's Degree,68267,67513,68615
13326,Florida Gulf Coast University,Public,Hospitality Administration/Management.,Bachelor's Degree,50667,56703,46942
13327,Florida Gulf Coast University,Public,Marketing.,Bachelor's Degree,63167,68097,60399
13328,Pima Medical Institute-Chula Vista,"Private, for-profit",Veterinary/Animal Health Technologies/Technicians.,Undergraduate Certificate or Diploma,34125,34817,34012
13329,Pima Medical Institute-Chula Vista,"Private, for-profit",Veterinary/Animal Health Technologies/Technicians.,Associate's Degree,40691,40701,40567
13330,Pima Medical Institute-Chula Vista,"Private, for-profit",Dental Support Services and Allied Professions.,Undergraduate Certificate or Diploma,33638,38524,33328
13331,Pima Medical Institute-Chula Vista,"Private, for-profit",Health and Medical Administrative Services.,Undergraduate Certificate or Diploma,34662,42365,34246
13332,Pima Medical Institute-Chula Vista,"Private, for-profit",Allied Health and Medical Assisting Services.,Undergraduate Certificate or Diploma,37325,42231,36534
13333,Pima Medical Institute-Chula Vista,"Private, for-profit","Allied Health Diagnostic, Intervention, and Treatment Professions.",Associate's Degree,74874,82197,69320
13334,Lincoln College of Technology-Marietta,"Private, for-profit",Allied Health and Medical Assisting Services.,Undergraduate Certificate or Diploma,32756,34930,32542
13335,Cortiva Institute,"Private, for-profit",Somatic Bodywork and Related Therapeutic Services.,Undergraduate Certificate or Diploma,29306,31753,28585
13336,New Professions Technical Institute,"Private, for-profit","English Language and Literature, General.",Undergraduate Certificate or Diploma,28021,42606,22658
13337,City College-Miami,"Private, nonprofit","Allied Health Diagnostic, Intervention, and Treatment Professions.",Associate's Degree,44513,45095,45727
13338,City College-Miami,"Private, nonprofit","Business Administration, Management and Operations.",Associate's Degree,37550,40506,35554
13339,Community College of Baltimore County,Public,"Liberal Arts and Sciences, General Studies and Humanities.",Associate's Degree,45361,46714,44311
13340,Community College of Baltimore County,Public,Criminal Justice and Corrections.,Associate's Degree,69093,70360,68358
13341,Community College of Baltimore County,Public,"Allied Health Diagnostic, Intervention, and Treatment Professions.",Associate's Degree,88692,98442,82673
13342,Community College of Baltimore County,Public,"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",Associate's Degree,83689,88469,82755
13343,Community College of Baltimore County,Public,"Business/Commerce, General.",Associate's Degree,56799,61636,50046
13344,Florida Coastal School of Law,"Private, for-profit",Law.,Undergraduate Certificate or Diploma,63090,65362,63430
13345,Florida Coastal School of Law,"Private, for-profit",Law.,First Professional Degree,69978,78211,66582
13346,Blue Cliff College-Metairie,"Private, for-profit",Cosmetology and Related Personal Grooming Services.,Undergraduate Certificate or Diploma,19662,22789,19503
13347,Blue Cliff College-Metairie,"Private, for-profit",Allied Health and Medical Assisting Services.,Undergraduate Certificate or Diploma,23671,26916,23671
13348,Blue Cliff College-Metairie,"Private, for-profit",Somatic Bodywork and Related Therapeutic Services.,Undergraduate Certificate or Diploma,21673,27573,20174
13349,Louisiana State University Health Sciences Center-Shreveport,Public,Medicine.,First Professional Degree,159366,156843,168110
13350,Louisiana State University Health Sciences Center-Shreveport,Public,Rehabilitation and Therapeutic Professions.,Doctoral Degree,79899,86783,75539
13351,River Parishes Community College,Public,Industrial Production Technologies/Technicians.,Associate's Degree,108288,117605,51312
13352,River Parishes Community College,Public,"Liberal Arts and Sciences, General Studies and Humanities.",Associate's Degree,37027,43815,36570
13353,Los Angeles Film School,"Private, for-profit",Audiovisual Communications Technologies/Technicians.,Associate's Degree,27431,27929,20358
13354,Los Angeles Film School,"Private, for-profit",Film/Video and Photographic Arts.,Associate's Degree,27196,28651,22726
13355,Los Angeles Film School,"Private, for-profit","Arts, Entertainment,and Media Management.",Bachelor's Degree,28672,28954,25354
13356,Century College,"Private, for-profit",Cosmetology and Related Personal Grooming Services.,Undergraduate Certificate or Diploma,14903,19247,14620
13357,Fortis College-Foley,"Private, for-profit",Allied Health and Medical Assisting Services.,Undergraduate Certificate or Diploma,26938,34197,26607
13358,University of Connecticut-Waterbury Campus,Public,Natural Resources Conservation and Research.,Bachelor's Degree,53791,51883,55343
13359,University of Connecticut-Waterbury Campus,Public,Communication and Media Studies.,Bachelor's Degree,68876,64238,71574
13360,University of Connecticut-Waterbury Campus,Public,Journalism.,Bachelor's Degree,66259,64147,66366
13361,University of Connecticut-Waterbury Campus,Public,Curriculum and Instruction.,Master's Degree,60722,64258,59728
13362,University of Connecticut-Waterbury Campus,Public,Educational Administration and Supervision.,Graduate/Professional Certificate,101201,130745,97176
13363,University of Connecticut-Waterbury Campus,Public,Biomedical/Medical Engineering.,Bachelor's Degree,94444,91627,99302
13364,University of Connecticut-Waterbury Campus,Public,"Human Development, Family Studies, and Related Services.",Bachelor's Degree,56312,49413,56603
13365,University of Connecticut-Waterbury Campus,Public,Law.,First Professional Degree,122585,117185,128928
13366,University of Connecticut-Waterbury Campus,Public,"English Language and Literature, General.",Bachelor's Degree,56658,54042,57740
13367,University of Connecticut-Waterbury Campus,Public,"Liberal Arts and Sciences, General Studies and Humanities.",Bachelor's Degree,57793,58493,57711
13368,University of Connecticut-Waterbury Campus,Public,"Biology, General.",Bachelor's Degree,71208,68061,75028
13369,University of Connecticut-Waterbury Campus,Public,Cell/Cellular Biology and Anatomical Sciences.,Bachelor's Degree,85476,81563,92317
13370,University of Connecticut-Waterbury Campus,Public,Zoology/Animal Biology.,Bachelor's Degree,73079,79588,71862
13371,University of Connecticut-Waterbury Campus,Public,Mathematics.,Bachelor's Degree,65438,60332,66906
13372,University of Connecticut-Waterbury Campus,Public,Statistics.,Bachelor's Degree,76845,73279,77042
13373,University of Connecticut-Waterbury Campus,Public,"Multi/Interdisciplinary Studies, Other.",Bachelor's Degree,62769,58066,67964
13374,University of Connecticut-Waterbury Campus,Public,"Psychology, General.",Bachelor's Degree,61059,60701,60956
13375,University of Connecticut-Waterbury Campus,Public,Social Work.,Master's Degree,67471,75409,66337
13376,University of Connecticut-Waterbury Campus,Public,Economics.,Bachelor's Degree,80530,80279,78752
13377,University of Connecticut-Waterbury Campus,Public,Political Science and Government.,Bachelor's Degree,74491,71154,77269
13378,University of Connecticut-Waterbury Campus,Public,Sociology.,Bachelor's Degree,60962,61927,59763
13379,University of Connecticut-Waterbury Campus,Public,Dentistry.,First Professional Degree,165479,163633,164132
13380,University of Connecticut-Waterbury Campus,Public,Allied Health and Medical Assisting Services.,Bachelor's Degree,83413,82386,84508
13381,University of Connecticut-Waterbury Campus,Public,Medicine.,First Professional Degree,159023,135601,174994
13382,University of Connecticut-Waterbury Campus,Public,"Pharmacy, Pharmaceutical Sciences, and Administration.",Bachelor's Degree,139585,138178,142163
13383,University of Connecticut-Waterbury Campus,Public,"Pharmacy, Pharmaceutical Sciences, and Administration.",Doctoral Degree,140320,142778,137778
13384,University of Connecticut-Waterbury Campus,Public,"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",Bachelor's Degree,93828,102300,93301
13385,University of Connecticut-Waterbury Campus,Public,"Business/Commerce, General.",Bachelor's Degree,68564,76876,64827
13386,University of Connecticut-Waterbury Campus,Public,"Business Administration, Management and Operations.",Bachelor's Degree,81921,78994,86129
13387,University of Connecticut-Waterbury Campus,Public,"Business Administration, Management and Operations.",Master's Degree,152409,152879,147682
13388,University of Connecticut-Waterbury Campus,Public,Accounting and Related Services.,Bachelor's Degree,94820,95335,94460
13389,University of Connecticut-Waterbury Campus,Public,Accounting and Related Services.,Master's Degree,108331,111483,106210
13390,University of Connecticut-Waterbury Campus,Public,Finance and Financial Management Services.,Bachelor's Degree,104878,106354,101467
13391,University of Connecticut-Waterbury Campus,Public,Management Sciences and Quantitative Methods.,Bachelor's Degree,103314,105172,117408
13392,University of Connecticut-Waterbury Campus,Public,Marketing.,Bachelor's Degree,88892,80077,94768
13393,University of Connecticut-Waterbury Campus,Public,History.,Bachelor's Degree,56032,56111,56965
13394,University of Connecticut-Avery Point,Public,Natural Resources Conservation and Research.,Bachelor's Degree,53791,51883,55343
13395,University of Connecticut-Avery Point,Public,Communication and Media Studies.,Bachelor's Degree,68876,64238,71574
13396,University of Connecticut-Avery Point,Public,Journalism.,Bachelor's Degree,66259,64147,66366
13397,University of Connecticut-Avery Point,Public,Curriculum and Instruction.,Master's Degree,60722,64258,59728
13398,University of Connecticut-Avery Point,Public,Educational Administration and Supervision.,Graduate/Professional Certificate,101201,130745,97176
13399,University of Connecticut-Avery Point,Public,Biomedical/Medical Engineering.,Bachelor's Degree,94444,91627,99302
13400,University of Connecticut-Avery Point,Public,"Human Development, Family Studies, and Related Services.",Bachelor's Degree,56312,49413,56603
13401,University of Connecticut-Avery Point,Public,Law.,First Professional Degree,122585,117185,128928
13402,University of Connecticut-Avery Point,Public,"English Language and Literature, General.",Bachelor's Degree,56658,54042,57740
13403,University of Connecticut-Avery Point,Public,"Liberal Arts and Sciences, General Studies and Humanities.",Bachelor's Degree,57793,58493,57711
13404,University of Connecticut-Avery Point,Public,"Biology, General.",Bachelor's Degree,71208,68061,75028
13405,University of Connecticut-Avery Point,Public,Cell/Cellular Biology and Anatomical Sciences.,Bachelor's Degree,85476,81563,92317
13406,University of Connecticut-Avery Point,Public,Zoology/Animal Biology.,Bachelor's Degree,73079,79588,71862
13407,University of Connecticut-Avery Point,Public,Mathematics.,Bachelor's Degree,65438,60332,66906
13408,University of Connecticut-Avery Point,Public,Statistics.,Bachelor's Degree,76845,73279,77042
13409,University of Connecticut-Avery Point,Public,"Multi/Interdisciplinary Studies, Other.",Bachelor's Degree,62769,58066,67964
13410,University of Connecticut-Avery Point,Public,"Psychology, General.",Bachelor's Degree,61059,60701,60956
13411,University of Connecticut-Avery Point,Public,Social Work.,Master's Degree,67471,75409,66337
13412,University of Connecticut-Avery Point,Public,Economics.,Bachelor's Degree,80530,80279,78752
13413,University of Connecticut-Avery Point,Public,Political Science and Government.,Bachelor's Degree,74491,71154,77269
13414,University of Connecticut-Avery Point,Public,Sociology.,Bachelor's Degree,60962,61927,59763
13415,University of Connecticut-Avery Point,Public,Dentistry.,First Professional Degree,165479,163633,164132
13416,University of Connecticut-Avery Point,Public,Allied Health and Medical Assisting Services.,Bachelor's Degree,83413,82386,84508
13417,University of Connecticut-Avery Point,Public,Medicine.,First Professional Degree,159023,135601,174994
13418,University of Connecticut-Avery Point,Public,"Pharmacy, Pharmaceutical Sciences, and Administration.",Bachelor's Degree,139585,138178,142163
13419,University of Connecticut-Avery Point,Public,"Pharmacy, Pharmaceutical Sciences, and Administration.",Doctoral Degree,140320,142778,137778
13420,University of Connecticut-Avery Point,Public,"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",Bachelor's Degree,93828,102300,93301
13421,University of Connecticut-Avery Point,Public,"Business/Commerce, General.",Bachelor's Degree,68564,76876,64827
13422,University of Connecticut-Avery Point,Public,"Business Administration, Management and Operations.",Bachelor's Degree,81921,78994,86129
13423,University of Connecticut-Avery Point,Public,"Business Administration, Management and Operations.",Master's Degree,152409,152879,147682
13424,University of Connecticut-Avery Point,Public,Accounting and Related Services.,Bachelor's Degree,94820,95335,94460
13425,University of Connecticut-Avery Point,Public,Accounting and Related Services.,Master's Degree,108331,111483,106210
13426,University of Connecticut-Avery Point,Public,Finance and Financial Management Services.,Bachelor's Degree,104878,106354,101467
13427,University of Connecticut-Avery Point,Public,Management Sciences and Quantitative Methods.,Bachelor's Degree,103314,105172,117408
13428,University of Connecticut-Avery Point,Public,Marketing.,Bachelor's Degree,88892,80077,94768
13429,University of Connecticut-Avery Point,Public,History.,Bachelor's Degree,56032,56111,56965
13430,University of Connecticut-Stamford,Public,Natural Resources Conservation and Research.,Bachelor's Degree,53791,51883,55343
13431,University of Connecticut-Stamford,Public,Communication and Media Studies.,Bachelor's Degree,68876,64238,71574
13432,University of Connecticut-Stamford,Public,Journalism.,Bachelor's Degree,66259,64147,66366
13433,University of Connecticut-Stamford,Public,Curriculum and Instruction.,Master's Degree,60722,64258,59728
13434,University of Connecticut-Stamford,Public,Educational Administration and Supervision.,Graduate/Professional Certificate,101201,130745,97176
13435,University of Connecticut-Stamford,Public,Biomedical/Medical Engineering.,Bachelor's Degree,94444,91627,99302
13436,University of Connecticut-Stamford,Public,"Human Development, Family Studies, and Related Services.",Bachelor's Degree,56312,49413,56603
13437,University of Connecticut-Stamford,Public,Law.,First Professional Degree,122585,117185,128928
13438,University of Connecticut-Stamford,Public,"English Language and Literature, General.",Bachelor's Degree,56658,54042,57740
13439,University of Connecticut-Stamford,Public,"Liberal Arts and Sciences, General Studies and Humanities.",Bachelor's Degree,57793,58493,57711
13440,University of Connecticut-Stamford,Public,"Biology, General.",Bachelor's Degree,71208,68061,75028
13441,University of Connecticut-Stamford,Public,Cell/Cellular Biology and Anatomical Sciences.,Bachelor's Degree,85476,81563,92317
13442,University of Connecticut-Stamford,Public,Zoology/Animal Biology.,Bachelor's Degree,73079,79588,71862
13443,University of Connecticut-Stamford,Public,Mathematics.,Bachelor's Degree,65438,60332,66906
13444,University of Connecticut-Stamford,Public,Statistics.,Bachelor's Degree,76845,73279,77042
13445,University of Connecticut-Stamford,Public,"Multi/Interdisciplinary Studies, Other.",Bachelor's Degree,62769,58066,67964
13446,University of Connecticut-Stamford,Public,"Psychology, General.",Bachelor's Degree,61059,60701,60956
13447,University of Connecticut-Stamford,Public,Social Work.,Master's Degree,67471,75409,66337
13448,University of Connecticut-Stamford,Public,Economics.,Bachelor's Degree,80530,80279,78752
13449,University of Connecticut-Stamford,Public,Political Science and Government.,Bachelor's Degree,74491,71154,77269
13450,University of Connecticut-Stamford,Public,Sociology.,Bachelor's Degree,60962,61927,59763
13451,University of Connecticut-Stamford,Public,Dentistry.,First Professional Degree,165479,163633,164132
13452,University of Connecticut-Stamford,Public,Allied Health and Medical Assisting Services.,Bachelor's Degree,83413,82386,84508
13453,University of Connecticut-Stamford,Public,Medicine.,First Professional Degree,159023,135601,174994
13454,University of Connecticut-Stamford,Public,"Pharmacy, Pharmaceutical Sciences, and Administration.",Bachelor's Degree,139585,138178,142163
13455,University of Connecticut-Stamford,Public,"Pharmacy, Pharmaceutical Sciences, and Administration.",Doctoral Degree,140320,142778,137778
13456,University of Connecticut-Stamford,Public,"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",Bachelor's Degree,93828,102300,93301
13457,University of Connecticut-Stamford,Public,"Business/Commerce, General.",Bachelor's Degree,68564,76876,64827
13458,University of Connecticut-Stamford,Public,"Business Administration, Management and Operations.",Bachelor's Degree,81921,78994,86129
13459,University of Connecticut-Stamford,Public,"Business Administration, Management and Operations.",Master's Degree,152409,152879,147682
13460,University of Connecticut-Stamford,Public,Accounting and Related Services.,Bachelor's Degree,94820,95335,94460
13461,University of Connecticut-Stamford,Public,Accounting and Related Services.,Master's Degree,108331,111483,106210
13462,University of Connecticut-Stamford,Public,Finance and Financial Management Services.,Bachelor's Degree,104878,106354,101467
13463,University of Connecticut-Stamford,Public,Management Sciences and Quantitative Methods.,Bachelor's Degree,103314,105172,117408
13464,University of Connecticut-Stamford,Public,Marketing.,Bachelor's Degree,88892,80077,94768
13465,University of Connecticut-Stamford,Public,History.,Bachelor's Degree,56032,56111,56965
13466,Baton Rouge Community College,Public,"Liberal Arts and Sciences, General Studies and Humanities.",Associate's Degree,36355,46109,33889
13467,Linfield University-School of Nursing,"Private, nonprofit","Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",Bachelor's Degree,104701,110283,103019
