,College,Funding Status,Field Of Study,Degree,5 Year Earnings,5 Year Earnings for Males,5 Year Earnings for Non-Males
4651,Xavier University of Louisiana,"Private, nonprofit","Pharmacy, Pharmaceutical Sciences, and Administration.",Doctoral Degree,140879,143047,140502
4652,College of the Atlantic,"Private, nonprofit","Multi-/Interdisciplinary Studies, General.",Bachelor's Degree,38763,40021,34904
4653,Bowdoin College,"Private, nonprofit",Political Science and Government.,Bachelor's Degree,83716,81557,84812
4654,Central Maine Community College,Public,"Liberal Arts and Sciences, General Studies and Humanities.",Associate's Degree,40041,35994,40888
4655,Central Maine Community College,Public,"Business Administration, Management and Operations.",Associate's Degree,37779,48324,35998
4656,University of Maine at Augusta,Public,"Liberal Arts and Sciences, General Studies and Humanities.",Bachelor's Degree,49546,59665,40772
4657,University of Maine at Machias,Public,"Teacher Education and Professional Development, Specific Levels and Methods.",Bachelor's Degree,42684,46728,40952
4658,University of Maine,Public,"Teacher Education and Professional Development, Specific Levels and Methods.",Bachelor's Degree,42684,46728,40952
4659,University of Maine,Public,Marketing.,Bachelor's Degree,64199,53838,72122
4660,University of New England,"Private, nonprofit",Educational Administration and Supervision.,Graduate/Professional Certificate,89072,86816,91235
4661,University of New England,"Private, nonprofit","Teacher Education and Professional Development, Specific Levels and Methods.",Master's Degree,68502,71554,66307
4662,University of New England,"Private, nonprofit","Biology, General.",Bachelor's Degree,70032,73981,64491
4663,University of New England,"Private, nonprofit",Health and Physical Education/Fitness.,Bachelor's Degree,69231,68518,71413
4664,University of New England,"Private, nonprofit",Social Work.,Master's Degree,58809,61436,58505
4665,University of New England,"Private, nonprofit","Allied Health Diagnostic, Intervention, and Treatment Professions.",Master's Degree,131487,138309,129995
4666,University of New England,"Private, nonprofit",Medicine.,Doctoral Degree,196381,172289,202943
4667,University of New England,"Private, nonprofit","Pharmacy, Pharmaceutical Sciences, and Administration.",Doctoral Degree,141813,144842,141042
4668,University of New England,"Private, nonprofit",Public Health.,Master's Degree,87412,109072,83188
4669,University of New England,"Private, nonprofit",Rehabilitation and Therapeutic Professions.,Doctoral Degree,80057,91154,76314
4670,Empire Beauty School-Maine,"Private, for-profit",Cosmetology and Related Personal Grooming Services.,Undergraduate Certificate or Diploma,22913,25475,22714
4671,Spa Tech Institute-Westbrook,"Private, for-profit",Somatic Bodywork and Related Therapeutic Services.,Undergraduate Certificate or Diploma,25438,34086,23029
4672,Southern Maine Community College,Public,"Radio, Television, and Digital Communication.",Associate's Degree,34687,35151,33956
4673,Southern Maine Community College,Public,"Liberal Arts and Sciences, General Studies and Humanities.",Associate's Degree,38484,38352,38729
4674,Southern Maine Community College,Public,"Allied Health Diagnostic, Intervention, and Treatment Professions.",Associate's Degree,70124,74204,69572
4675,Southern Maine Community College,Public,"Business Administration, Management and Operations.",Associate's Degree,43132,45252,39037
